sent_id	original_text
01_26_2	धीधैर्यआत्मआदिविज्ञानम् मनोदोषऔषधम् परम् (भवति) .
01_27_1	भिषक् द्रव्याणि उपस्थाता रोगी पादचतुष्टयम् चिकित्सितस्य निर्दिष्टम् (भवति) .
01_27_2	प्रतिएकम् तत् चतुःगुणम् (भवति) .
01_28_1	दक्षः तीर्थआत्तशास्त्रअर्थः दृष्टकर्मा शुचिः (च) भिषक् (भवेत्) .
01_28_2	औषधम् बहुकल्पम् बहुगुणम् सम्पन्नम् योग्यम् (च) (भवेत्) .
01_29	
01_29_1	अनुरक्तः शुचिः दक्षः बुद्धिमान् (च) परिचारकः (भवेत्) .
01_29_2	आढ्यः रोगी भिषक्वश्यः ज्ञापकः सत्त्ववान् अपि (भवेत्) .
01_30-31_1	सर्वऔषधक्षमे देहे (स्थितः) यूनः पुंसः जितआत्मनः अमर्मगः अल्पहेतुअग्ररूपरूपः अन् उपद्रवः अतुल्यदूष्यदेशऋतुप्रकृतिः पादसंपदि (सति) ग्रहेषु अनुगुणेषु (सत्सु) एकदोषमार्गः नवः (व्याधिः) सुखः (उच्यते) .
01_32_1	शस्त्रआदिसाधनः कृच्छ्रः संकरे (सति) च ततः गदः (उच्यते) .
01_32_2	शेषत्वात् आयुषः याप्यः पथ्यअभ्यासात् विपर्यये (सति) (व्याधिः) (उच्यते) .
01_33_1	अन्उपक्रमः एव स्यात् स्थितः अत्यन्तविपर्यये औत्सुक्यमोहअरतिकृत् दृष्टरिष्टः अक्षनाशनः (गदः) .
01_34_1-35_1	त्यजेत् आर्तम् भिषक्भूपैः द्विष्टम् तेषाम् द्विषम् द्विषम् हीनउपकरणम् व्यग्रम् अविधेयम् गतआयुषम् चण्डम् शोकआतुरम् भीरुम् कृतघ्नम् वैद्यमानिनम् (च)
01_35_2	तन्त्रस्य अस्य परम् च अतः वक्ष्यते अध्यायसङ्ग्रहः .
