02_01_0g1	अथ अतः दिनचर्याअध्यायम् व्याख्यास्यामः .	aWa awaH xinacaryAaXyAyam vyAKyAsyAmaH .	We shall now expound the chapter-  dinacaryā (daily regimen)
02_09_2	वर्ज्यः अभ्यङ्गः कफग्रस्तकृतसम्शुद्धिअजीर्णिभिः .	varjyaH aByafgaH kaPagraswakqwasamSuxXiajIrNiBiH .	A regular oil massage (abhyang) is useful. It delays the attributes of ageing, alleviates fatigue and the excess of Vata. It improves sight, nourishes body tissues, prolongs life, induces good sleep, improves the skin properties and tones up muscles. The massage should be specially done on ears, head and feet. Contraindications of abhyanga are conditions of increased Kapha, cold etc., after Vamana and Virechana procedures and in poor digestion.
02_10_1	लाघवम् कर्मसामर्थ्यम् दीप्तः अग्निः मेदसः क्षयः विभक्तघनगात्रत्वम् च व्यायामात् उपजायते .	lAGavam karmasAmarWyam xIpwaH agniH mexasaH kRayaH viBakwaGanagAwrawvam ca vyAyAmAw upajAyawe .	Activities that produce tiredness to the body are known as vyayama (exercise). The benefits of vyayama: the body becomes light, able to carry out common duties with enthusiasm, power of digestion increses, body fat decreases, the body takes good shape and becomes firm.Vyayama is unsuitable for people with Vata and Pitta diseases, for children, older people and persons with poor digestion.
02_11_1	वातपित्तआमयी बालः वृद्धः अजीर्णः च तम् त्यजेत् .	vAwapiwwaAmayI bAlaH vqxXaH ajIrNaH ca wam wyajew .	Strong persons who are used to eat (snigda) unctuous food, should exercise in cold weather and in winter and spring to a half of their capacity. In other seasons they should exercise even less.
02_11_2-12_1	अर्धशक्त्या निषेव्यः तु बलिभिः स्निग्धभोजिभिः (पुरुषैः) शीतकाले वसन्ते च मन्दम् एव ततः अन्यदा (निषेव्यः) .	arXaSakwyA niRevyaH wu baliBiH snigXaBojiBiH (puruREH) SIwakAle vasanwe ca manxam eva wawaH anyaxA (niRevyaH) .	Strong persons who are used to eat (snigda) unctuous food, should exercise in cold weather and in winter and spring to a half of their capacity. In other seasons they should exercise even less.
02_12_2	तम् कृत्वा अनुसुखम् देहम् मर्दयेत् च समन्ततः .	wam kqwvA anusuKam xeham marxayew ca samanwawaH .	After exercise, the body should be gently massaged.
02_13_1	तृष्णा क्षयः प्रतमकः रक्तपित्तम् श्रमः क्लमः अतिव्यायामतः कासः ज्वरः छर्दिः च जायते .	wqRNA kRayaH prawamakaH rakwapiwwam SramaH klamaH awivyAyAmawaH kAsaH jvaraH CarxiH ca jAyawe .	Excessive exercise leads to complications like trsna (thirst), ksaya (emaciation), pratamaka svasa (severe dyspnoea), raktapitta (haemorrahage), srama (exhaustion), klama (tiredness), kasa (cough), jwara (fever), chardi (vomiting) etc.
02_14_1	व्यायामजागरअध्वस्त्रीहास्यभाषिआदि साहसम् गजम् सिंहः इव आकर्षन् (विनश्यति) भजन् अति विनश्यति (पुरुषः) .	vyAyAmajAgaraaXvaswrIhAsyaBARiAxi sAhasam gajam siMhaH iva AkarRan (vinaSyawi) Bajan awi vinaSyawi (puruRaH) .	Any excessive activity, i.e. exercise, staying awake late in the night, walk, sex, laughter, talk, subsequently leads to destruction. Any of such activities, if inappropriate, leads to destruction similarly as when a lion hunts an elephant easily, but then dies trying to pull it away.
02_15_1	उद्वर्तनम् कफहरम् मेदसः प्रविलायनम् स्थिरीकरणम् अङ्गानाम् त्वक्प्रसादकरम् परम् (च) (भवति) .	uxvarwanam kaPaharam mexasaH pravilAyanam sWirIkaraNam afgAnAm wvakprasAxakaram param (ca) (Bavawi) .	Udravrtan or uvtan should be done after exercise. Udravrtan decreases kapha, removes meda, makes bofy firm and (cleans) detoxicates skin.
02_16_1	दीपनम् वृष्यम् आयुष्यम् स्नानम् ऊर्जाबलप्रदम् कण्डूमलश्रमस्वेदतन्द्रातृट्दाहपाप्मजित् (च) (भवति) .	xIpanam vqRyam AyuRyam snAnam UrjAbalapraxam kaNdUmalaSramasvexawanxrAwqtxAhapApmajiw (ca) (Bavawi) .	Snana (bath) supports agni, prolongs life, increases enthusiasm and strength. It removes waste products (from skin), tiredness, sweat, laziness, thirst, burning sensation and pap (bad thoughts).
02_17_1	उष्णअम्बुना अधःकायस्य परिषेकः बलआवहः (भवति) तेन एव तु उत्तमअङ्गस्य बलहृत् केशचक्षुषाम् (भवति) (परिषेकः) .	uRNaambunA aXaHkAyasya pariRekaH balaAvahaH (Bavawi) wena eva wu uwwamaafgasya balahqw keSacakRuRAm (Bavawi) (pariRekaH) .	Hot water bath gives strength to the body if applied to the lower part (below neck), it harms eyes and hair if applied above neck.
02_18_1	स्नानम् अर्दितनेत्रअस्यकर्णरोगअतिसारिषु अध्मानपोनसअजीर्णभुक्तवत्सु च गर्हितम् .	snAnam arxiwanewraasyakarNarogaawisAriRu aXmAnaponasaajIrNaBukwavawsu ca garhiwam .	Bathing is contraindicated for paralysis, eye disease, facial and mouth disease, ear disease, dysentery, constipation, cold and flue, indigestion, and while eating.
02_19_1	जीर्णे हितम् मितम् च अद्यात् न वेगान् ईरयेत् बलात् .	jIrNe hiwam miwam ca axyAw na vegAn Irayew balAw .	Only after digesting the previous meal, it is allowed to eat another balanced meal in an appropriate amount; in accordance with the weather. One should not hold urine, feces and other wastes. On the other hand man should not excrete with excessive effort (One should not go to work if a disease is not cured).
02_19_2	न वेगितः (सन्) अन्यकार्यः स्यात् न अजित्वा साध्यम् आमयम् (अन्य)(कार्यम्) .	na vegiwaH (san) anyakAryaH syAw na ajiwvA sAXyam Amayam (anya)(kAryam) .	Only after digesting the previous meal, it is allowed to eat another balanced meal in an appropriate amount; in accordance with the weather. One should not hold urine, feces and other wastes. On the other hand man should not excrete with excessive effort (One should not go to work if a disease is not cured).
02_20_1	सुखअर्थाः सर्वभूतानाम् मताः सर्वाः प्रवृत्तयः सुखम् च न विना धर्मात् (भवति) तस्मात् धर्मपरः भवेत् .	suKaarWAH sarvaBUwAnAm mawAH sarvAH pravqwwayaH suKam ca na vinA XarmAw (Bavawi) wasmAw XarmaparaH Bavew .	All beings have a tendency to act in the way to obtain sukha (joy and happiness). Lasting joy can not be obtained without dharma, therefore, the mind should act in the way to follow dharma in order to obtain lasting joy.
02_21_1	भक्त्या कल्याणमित्राणि सेवेत इतरदूरगः (सन्) .	BakwyA kalyANamiwrANi sevewa iwaraxUragaH (san) .	Take a devoted care of good guys and be happy, the others (the bad individuals) should be avoided.
02_21_2-22_1	हिंसास्तेयअन्यथाकामम् पैशुन्यम् परुषअनृते सम्भिन्नआलापम् व्यापादम् अभिध्याम् दृक्विपर्ययम् पापम् कर्म इति दशधा कायवाक्मानसैः त्यजेत् .	hiMsAsweyaanyaWAkAmam pESunyam paruRaanqwe samBinnaAlApam vyApAxam aBiXyAm xqkviparyayam pApam karma iwi xaSaXA kAyavAkmAnasEH wyajew .	One should avoid the ten sinful actions, carried out physically, verbally and mentally. Sinful body: 1. Himsa (physical abuse, cruelty), 2. steya (stealing), 3. anyatha kam (unsuitable action in pursue of joy). Sinful speech: 4. paishunya (defamation), 5. parusa vachana (offensive, harsh words) 6. anrta vachana (lying), 7. sambhina alapa (arguing). Sinful mind: 8. vyapada (hate, someone intent to destroy, humiliate), 9. abhidhya (envy, thoughts of acquiring foreign assets), 10. drg viparyaya (misinterpretation, distortion of meaning).
02_23_1	अवृत्तिव्याधिशोकआर्तान् अनुवर्तेत शक्तितः .	avqwwivyAXiSokaArwAn anuvarwewa SakwiwaH .	One must help within its own capacity to those who fight for their livelihood, suffer from disease or pain. All these people must be approached with understanding, help and consolation.
02_23_2	आत्मवत् सततम् पश्येत् अपि कीटपिपीलिकम् .	Awmavaw sawawam paSyew api kItapipIlikam .	Even insect and ants should be viewed with respect. Compassionate attitude towards all living beings is the hallmark of a wise man.
02_24_1	अर्चयेत् देवगोविप्रवृद्धवैद्यनृपअतिथीन् .	arcayew xevagovipravqxXavExyanqpaawiWIn .	One should pay tribute to the gods, cows, brahmins, older vaidyas, kings and guests.
02_24_2	विमुखान् न अर्थिनः कुर्यात् न अवमन्येत न आक्षिपेत् .	vimuKAn na arWinaH kuryAw na avamanyewa na AkRipew .	One should never be indifferent to those who come asking. One should not disappoint, dishonored or insult such a person.
02_25_1	उपकारप्रधानः स्यात् अपकारपरे अपि अरौ .	upakArapraXAnaH syAw apakArapare api arO .	One should upkar (help) to all, even those who are enemies.
02_25_2	सम्पत्विपत्सु एकमनाः हेतौ ईर्ष्येत् फले न तु (ईर्ष्येत्) (स्यात्) .	sampawvipawsu ekamanAH hewO IrRyew Pale na wu (IrRyew) (syAw) .	One should upkar (help) to all, even those who are enemies.
02_26_1	काले हितम् मितम् ब्रूयात् अविसंवादि पेशलम् (च) .	kAle hiwam miwam brUyAw avisaMvAxi peSalam (ca) .	One should feel the same joy and sadness, focusing on the causes of joy, sorrow, success and failure, not on their outcome.
02_26_2	पूर्वअभिभाषी सुमुखः सुशीलः करुणामृदुः (च) (स्यात्) .	pUrvaaBiBARI sumuKaH suSIlaH karuNAmqxuH (ca) (syAw) .	One should first welcome and greet everyone with a friendly, courteous, kind and gentle face. He should be loving and kind. It should not just be happy, believe anyone, not even to suspect everyone.
02_27_1	न एकः सुखी (स्यात्) न सर्वत्र विश्रब्धः (स्यात्) न च शङ्कितः (स्यात्) .	na ekaH suKI (syAw) na sarvawra viSrabXaH (syAw) na ca SafkiwaH (syAw) .	One should first welcome and greet everyone with a friendly, courteous, kind and gentle face. He should be loving and kind. It should not just be happy, believe anyone, not even to suspect everyone.
02_27_2	न कञ्चित् आत्मनः शत्रुम् (प्रकाशयेत्) न आत्मानम् कस्यचित् रिपुम् (प्रकाशयेत्) .	na kaFciw AwmanaH Sawrum (prakASayew) na AwmAnam kasyaciw ripum (prakASayew) .	One should not designate anyone an enemy or to report himself as one's enemy. One should not show that they are offended or that is wrong from God (blame God).
02_28_1	प्रकाशयेत् न अपमानम् न च निर्स्नेहताम् प्रभोः (प्रकाशयेत्) .	prakASayew na apamAnam na ca nirsnehawAm praBoH (prakASayew) .	One should not designate anyone an enemy or to report himself as one's enemy. One should not show that they are offended or that is wrong from God (blame God).
02_28_2	जनस्य आशयम् आलक्ष्य यः यथा परितुष्यति .	janasya ASayam AlakRya yaH yaWA pariwuRyawi .	One should thoroughly understand the importance for a second and then respond appropriately and effectively.
02_29_1	तम् तथा एव अनुवर्तेत परआराधनपण्डितः .	wam waWA eva anuvarwewa paraArAXanapaNdiwaH .	One should thoroughly understand the importance for a second and then respond appropriately and effectively.
02_29_2	न पीडयेत् इन्द्रियाणि न च एतानि अति लालयेत् .	na pIdayew inxriyANi na ca ewAni awi lAlayew .	The senses should not be overloaded by mind, neither used at all.
02_30_1	त्रिवर्गशून्यम् न आरम्भम् भजेत् तम् च अविरोधयन् (भजेत्) .	wrivargaSUnyam na AramBam Bajew wam ca aviroXayan (Bajew) .	One should not do such activities which are not in accordance with three factors (dharma, artha and karma).
02_30_2	अनुयायात् प्रतिपदम् सर्वधर्मेषु मध्यमाम् .	anuyAyAw prawipaxam sarvaXarmeRu maXyamAm .	One should deal with others within the middle path of Dharma.
02_31_1	नीचरोमनखश्मश्रुः निर्मलअङ्घ्रिमलअयनः स्नानशीलः सुसुरभिः सुवेषः अन्उल्बणउज्ज्वलः (च) (स्यात्) (नरः) .	nIcaromanaKaSmaSruH nirmalaafGrimalaayanaH snAnaSIlaH susuraBiH suveRaH anulbaNaujjvalaH (ca) (syAw) (naraH) .	One should regularly cut hair, nails and beard. Clean legs and all waste openings. Maintain a daily habit to bath. Use nice parfumes and dress well. The dress should be bright but not too showy.
02_32_1	धारयेत् सततम् रत्नसिद्धमन्त्रमहाओषधीः .	XArayew sawawam rawnasixXamanwramahAoRaXIH .	A man should always wear jewelry, herbs and repeat enlightened mantras.
02_32_2	सआतपत्रपदत्राणः विचरेत् युगमात्रदृक् (च) (सन्) .	saAwapawrapaxawrANaH vicarew yugamAwraxqk (ca) (san) .	He should not go out at night unless it is an emergency.
02_33_1	निशि च आत्ययिके कार्ये दण्डी मौली सहायवान् (विचरेत्) (च) (सन्) .	niSi ca Awyayike kArye xaNdI mOlI sahAyavAn (vicarew) (ca) (san) .	He should not go out at night unless it is an emergency. He should carry a stick in hand, he should wear a cap and he should be accompanied.
02_33_2-34_1	चैत्यपूज्यध्वजआशस्तछायाभस्मतुषअशुचीन् न आक्रामेत् शर्करालोष्टबलिस्नानभुवः न च (आक्रामेत्) .	cEwyapUjyaXvajaASaswaCAyABasmawuRaaSucIn na AkrAmew SarkarAloRtabalisnAnaBuvaH na ca (AkrAmew) .	One should not climb the Chaita tree (sacred trees, sacred sites and the like.) Flags masts. He should not participate on improper activities (eg. drug addicts, murderers, thieves, and so on.). He should not walk through a rocky terrain, go to places where sacrificing or killing animals, he should not enter the bathing sites and stepping on mounds of grass, piles of ashes etc.
02_34_2	नदीम् तरेत् न बाहुभ्याम् न अग्निस्कन्धम् अभिव्रजेत् .	naxIm warew na bAhuByAm na agniskanXam aBivrajew .	One should not swim in a steep river, get near to the fire, entering a boat or climb a tree where you are not sure about their stability, ride the unmanageable animals or vehicles drawn by them.
02_35_1	सन्दिग्धनावम् वृक्षम् च न आरोहेत् दुष्टयानवत् .	sanxigXanAvam vqkRam ca na Arohew xuRtayAnavaw .	One should not swim in a steep river, get near to the fire, entering a boat or climb a tree where you are not sure about their stability, ride the unmanageable animals or vehicles drawn by them.
02_35_2	न असंवृतमुखः कुर्यात् क्षुतिहास्यविजृम्भणम् .	na asaMvqwamuKaH kuryAw kRuwihAsyavijqmBaNam .	If a person sneezes, laughs or yawns, he should cover his mouth. One should not stick their fingers in the nose. One should not draw lines on the ground.
02_36_1	नासिकाम् न विकुष्णीयात् न अकस्मात् विलिखेत् भुवम् न अङ्गैः चेष्टेत विगुणम् न आसीत उत्कटकः चिरम् .	nAsikAm na vikuRNIyAw na akasmAw viliKew Buvam na afgEH ceRtewa viguNam na AsIwa uwkatakaH ciram .	If a person sneezes, laughs or yawns, he should cover his mouth. One should not stick their fingers in the nose. One should not draw lines on the ground.One should not position his hands, feet and other body parts unnaturally. He should not exaggerate facial expressions. One should not sit in a squatting position for too long.
02_37_1	देहवाक्चेतसाम् चेष्टाः प्राक् श्रमात् विनिवर्तयेत् न ऊर्ध्वजानुः चिरम् तिष्ठेत् .	xehavAkcewasAm ceRtAH prAk SramAw vinivarwayew na UrXvajAnuH ciram wiRTew .	One should cease all activity of body, speech and mind before you get tired. Carry long with stretched  knees.At night no one should spend the time  and sleep - under big trees - on chatvara (junction of three roads) - under chaitya (sacred sites) - to chatuspatha (junction of four roads) - in suralaya (tavern) and mandir (temple).
02_37_2-38_1	नक्तम् सेवेत न द्रुमम् तथा चत्वरचैत्यअन्तःचतुःपथसुरआलयान् सूनाअटवीशून्यगृहश्मशानानि दिवा अपि न (सेवेत) .	nakwam sevewa na xrumam waWA cawvaracEwyaanwaHcawuHpaWasuraAlayAn sUnAatavISUnyagqhaSmaSAnAni xivA api na (sevewa) .	At night no one should spend the time  and sleep - under big trees - on chatvara (junction of three roads) - under chaitya (sacred sites) - to chatuspatha (junction of four roads) - in suralaya (tavern) and mandir (temple).The following places are not appropriate for even day visit: suna (slaughterhouse), atavi (dense jungles), shunya graha (ruined houses) and shamashana (open crematorium).
02_39_1	सर्वथा ईक्षेत न आदित्यम् न भारम् शिरसा वहेत् न ईक्षेत प्रततम् सूक्ष्मम् दीप्तअमेध्यअप्रियाणि च .	sarvaWA IkRewa na Axiwyam na BAram SirasA vahew na IkRewa prawawam sUkRmam xIpwaameXyaapriyANi ca .	One should not look intently at the sun, he should not carry heavy things on his head. It is not advisable to observe for long: sukshma (very small), the dazzling and apavitra (impure) or apriya (unpleasant) objects.
02_40_1	मद्यविक्रयसन्धानदानआदानानि न आचरेत् .	maxyavikrayasanXAnaxAnaAxAnAni na Acarew .	One should not trade, produce, deliver or use intoxicating drinks.
02_40_2	पुरोवातआतपरजस्तुषारपरुषअनिलान् त्यजेत् .	purovAwaAwaparajaswuRAraparuRaanilAn wyajew .	One should avoid direct wind from the east and from the front, direct sunlight, dust, snow and gale (strong wind).
02_41_1	अनृजुः क्षवथुउद्गारकासस्वप्नअन्नमैथुनम् (त्यजेत्) .	anqjuH kRavaWuuxgArakAsasvapnaannamEWunam (wyajew) .	It is necessary to avoid sneezing, burping, coughing, sleeping, eating and intercourse in unnatural positions.
02_41_2-42_1	कूलछायाम् नृपद्विष्टम् व्यालदंष्ट्रिविषाणिनः हीनअन् आर्यअतिनिपुणसेवाम् (च) (त्यजेत्) विग्रहम् उत्तमैः (त्यजेत्) सन्ध्यासु अभ्यवहारस्त्रीस्वप्नअध्ययनचिन्तनम् (त्यजेत्) .	kUlaCAyAm nqpaxviRtam vyAlaxaMRtriviRANinaH hInaan AryaawinipuNasevAm (ca) (wyajew) vigraham uwwamEH (wyajew) sanXyAsu aByavahAraswrIsvapnaaXyayanacinwanam (wyajew) .	"resting in the shade of trees growing on the banks of the river should avoid.Avoiding dangerous beasts, bad association, receiving food and other recommendations.Avoid people who hate the king. Avoid snakes, animals with sharp teeth and a horned beasts (e.g. a bull, a buffalo). One should not serve evil, vile, uncivilized and astute people. One should not argue with the wise and decent people. One should not eat, sleep, have sex, think, walk during sandhya (sunset)."
02_43_1	शत्रुसत्रगणआकीर्णगणिकापणिकअशनम् (त्यजेत्) .	SawrusawragaNaAkIrNagaNikApaNikaaSanam (wyajew) .	Avoid foods offered by foes sacrificed at Agnihotra (sacrificial ritual), meal from gan (poor community), eating trash or offered by prostitutes and panic (sold on the street).
02_43_2	गात्रवक्त्रनखैः वाद्यम् (त्यजेत्) हस्तकेशअवधूननम् (त्यजेत्) .	gAwravakwranaKEH vAxyam (wyajew) haswakeSaavaXUnanam (wyajew) .	Do not make sounds using the body, mouth and nails,Do not shake hands and hair.
02_44_1	तोयअग्निपूज्यमध्येन यानम् (त्यजेत्) धूमम् शवआश्रयम् मद्यअतिसक्तिम् (च) (त्यजेत्) विश्रम्भस्वातन्त्र्ये स्त्रीषु च त्यजेत् .	woyaagnipUjyamaXyena yAnam (wyajew) XUmam SavaASrayam maxyaawisakwim (ca) (wyajew) viSramBasvAwanwrye swrIRu ca wyajew .	Do not stand between two containers with water, fire and respected person.
02_45_1	आचार्यः सर्वचेष्टासु लोकः एव हि धीमतः (भवति) अनुकुर्यात् तम् एव अतः लौकिके अर्थे परीक्षकः .	AcAryaH sarvaceRtAsu lokaH eva hi XImawaH (Bavawi) anukuryAw wam eva awaH lOkike arWe parIkRakaH .	To learn such behavior, one should go to Acharya (teacher) as he is the source of knowledge.
02_46_1	आर्द्रसन्तानता त्यागः कायवाक्चेतसाम् दमः स्वअर्थबुद्धिः परअर्थेषु पर्याप्तम् इति सद्व्रतम् (भवति) .	ArxrasanwAnawA wyAgaH kAyavAkcewasAm xamaH svaarWabuxXiH paraarWeRu paryApwam iwi saxvrawam (Bavawi) .	Grace, donation, controlling the body, mind and words, concern the joy of others are synonyms to good behavior.
02_47_1	नक्तंदिनानि मे यान्ति कथम्भूतस्य सम्प्रति दुःखभाक् न भवति एवम् नित्यम् सन्निहितस्मृतिः (सन्) .	nakwaMxinAni me yAnwi kaWamBUwasya samprawi xuHKaBAk na Bavawi evam niwyam sannihiwasmqwiH (san) .	One who analyse, his day and night going (understanding the changes in qualities, may have chance to repair as per requirement) and will never become a victim of torment.
02_48_1	इति आचारः समासेन (भवति) यम् प्राप्नोति समाचरन् आयुः आरोग्यम् ऐश्वर्यम् यशः लोकान् च शाश्वतान् .	iwi AcAraH samAsena (Bavawi) yam prApnowi samAcaran AyuH Arogyam ESvaryam yaSaH lokAn ca SASvawAn .	Thus was briefly enumerated the rules of correct behavior. Whoever accepts them, certainly achieves long life, health, reputation, freedom and eternal world.
