Geo_nios_3ch_0001	पिछले पाठ में हमने पढा कि पृथ्वी का आंतरिक भाग बहुत गर्म है ।	piCale pATa meM hamane paDA ki pqWvI kA AMwarika BAga bahuwa garma hE .	In the previous lesson, we have learnt that the interior of the earth is very hot.
Geo_nios_3ch_0018	इस पाठ का अध्ययन करने के पश्चात् आप प्लेट विवर्तनिकी की अवधारणा की व्याख्या कर सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa pleta vivarwanikI kI avaXAraNA kI vyAKyA kara sakeMge .	After studying this lesson, you will be able to explain the concept of plate tectonics.
Geo_nios_3ch_0019	इस पाठ का अध्ययन करने के पश्चात् आप विश्व मानचित्र पर विभिन्न प्लेटों को पहचान कर उनकी अवस्थिति दिखा सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa viSva mAnaciwra para viBinna pletoM ko pahacAna kara unakI avasWiwi xiKA sakeMge .	After studying this lesson, you will be able to identify and locate different plates on the world map.
Geo_nios_3ch_0020	इस पाठ का अध्ययन करने के पश्चात् आप प्लेट संचलन के रचनातंत्र को स्पष्ट कर सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa pleta saMcalana ke racanAwaMwra ko spaRta kara sakeMge .	After studying this lesson, you will be able to explain the mechanism of plate movement.
Geo_nios_3ch_0021	इस पाठ का अध्ययन करने के पश्चात् आप विभिन्न प्लेट सीमाओं और उनसे संबंधित लक्षणों को पहचान सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa viBinna pleta sImAoM Ora unase saMbaMXiwa lakRaNoM ko pahacAna sakeMge .	After studying this lesson, you will be able to identify various plate boundaries and associated features.
Geo_nios_3ch_0022	इस पाठ का अध्ययन करने के पश्चात् आप पृथ्वी पर जल और स्थल के वितरण की व्याख्या कर सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa pqWvI para jala Ora sWala ke viwaraNa kI vyAKyA kara sakeMge .	After studying this lesson, you will be able to explain the distribution of land and water on the globe.
Geo_nios_3ch_0023	इस पाठ का अध्ययन करने के पश्चात् आप प्लेट सीमाओं और भूकंप एवं ज्वालामुखी के मध्य सम्बन्ध स्थापित कर सकेंगे ।	isa pATa kA aXyayana karane ke paScAw Apa pleta sImAoM Ora BUkaMpa evaM jvAlAmuKI ke maXya sambanXa sWApiwa kara sakeMge .	After studying this lesson, you will be able to associate earthquakes and volcanoes with plate boundaries.
Geo_nios_3ch_0024	आइसोस्टेसी (भूसंतुलन) शब्द ग्रीक भाषा के आइसोस्टेसियॉज‘ से लिया गया है, जिसका अर्थ है संतुलन की स्थिति ।	AisostesI (BUsaMwulana) Sabxa grIka BARA ke AisostesiyoYja se liyA gayA hE, jisakA arWa hE saMwulana kI sWiwi .	The term “Isostasy” is derived from “Isostasia”, a word of Greek language meaning the state of being in balance.
Geo_nios_3ch_0025	आप जानते हैं और आपने ऐसा देखा भी होगा कि पर्वतों के बहुत से शिखर होते हैं और उनकी ऊँचाई भी अधिक होती है ।	Apa jAnawe hEM Ora Apane EsA xeKA BI hogA ki parvawoM ke bahuwa se SiKara howe hEM Ora unakI UzcAI BI aXika howI hE .	You already know and must have seen that the mountain have many peaks and relatively great heights.
Geo_nios_3ch_0026a	इसी तरह से पठार का ऊपरी भाग सपाट होता है ।	isI waraha se paTAra kA UparI BAga sapAta howA hE .	Similarly plateau and plain have flat surfaces.
Geo_nios_3ch_0026b	और मैदान समतल होते हैं ।	Ora mExAna samawala howe hEM .	Similarly plateau and plain have flat surfaces.
Geo_nios_3ch_0027a	पठारों की ऊँचाई सामान्य जबकि मैदानों की बहुत कम होती है,	paTAroM kI UzcAI sAmAnya jabaki mExAnoM kI bahuwa kama howI hE,	They have moderate and lower height, respectively.On the contrary oceanic beds and trenches have greater depths.
Geo_nios_3ch_0027b	इसके विपरीत समुद्र तलों और खाइयों की गहराई बहुत अधिक होती है ।	isake viparIwa samuxra waloM Ora KAiyoM kI gaharAI bahuwa aXika howI hE .	They have moderate and lower height, respectively.On the contrary oceanic beds and trenches have greater depths.
Geo_nios_3ch_0028	इन उच्चावचों की ऊँचाई में बहुत अन्तर होता है ।	ina uccAvacoM kI UzcAI meM bahuwa anwara howA hE .	There is a great difference in height among these features.
Geo_nios_3ch_0029a	आप यह भी जानते हैं कि पृथ्वी अपनी धुरी पर परिभ्रमण कर रही है ।	Apa yaha BI jAnawe hEM ki pqWvI apanI XurI para pariBramaNa kara rahI hE .	You also know that the earth is rotating while keeping perfect balance among its various features.
Geo_nios_3ch_0029b	और उसने अपने विविध भूलक्षणों में संतुलन बना रखा है ।	Ora usane apane viviXa BUlakRaNoM meM saMwulana banA raKA hE .	You also know that the earth is rotating while keeping perfect balance among its various features.
Geo_nios_3ch_0030	अतः हमारी पृथ्वी को समस्थिति की अवस्था में माना जाता है ।	awaH hamArI pqWvI ko samasWiwi kI avasWA meM mAnA jAwA hE .	Thus, our earth is considered to be in isostatic equilibrium.
Geo_nios_3ch_0031	उदाहरण - मान लीजिए आप अपने दोनों हाथों में भिन्न-भिन्न ऊँचाइयों (जैसे 5 और 15 इंच की) वाले लंबवत टुकडे सीधे पकडे हुए एक निश्चित दिशा में जा रहे हैं ।	uxAharaNa - mAna lIjie Apa apane xonoM hAWoM meM Binna-Binna UzcAiyoM (jEse 5 Ora 15 iMca kI) vAle laMbavawa tukade sIXe pakade hue eka niSciwa xiSA meM jA rahe hEM .	Example:- Suppose you are holding one stick each in your both hands vertically with varying heights, say 5’ and 15’ and you are moving in a particular direction.
Geo_nios_3ch_0032	क्या आपको अपने शरीर और उन दो टुकडों के साथ सामंजस्य बिठाने में कोई कठिनाई होती है? ।	kyA Apako apane SarIra Ora una xo tukadoM ke sAWa sAmaMjasya biTAne meM koI kaTinAI howI hE? .	Do you have any difficulty in maintaining a balance in congruence with your body as well as two sticks together?
Geo_nios_3ch_0033	निश्चित रूप से लम्बे टुकडों की अपेक्षा छोटे टुकडें के साथ सन्तुलन बनाए रखना आसान होगा ।	niSciwa rUpa se lambe tukadoM kI apekRA Cote tukadeM ke sAWa sanwulana banAe raKanA AsAna hogA .	Definitely, smaller stick will be easy to make a balance than the longer one.
Geo_nios_3ch_0034	ऐसा गुरूत्व केन्द्र के कारण होता है ।	EsA gurUwva kenxra ke kAraNa howA hE .	It is just because of the center of gravity.
Geo_nios_3ch_0035	लम्बे टुकडे की तुलना में छोटे टुकडे के साथ गुरूत्व केन्द्र आपके हाथ के अधिक पास होगा ।	lambe tukade kI wulanA meM Cote tukade ke sAWa gurUwva kenxra Apake hAWa ke aXika pAsa hogA .	The center of gravity with smaller stick will be nearer to your holding hand in comparison to the longer stick.
Geo_nios_3ch_0036	इस प्रकार से छोटे धरातलीय लक्षण जैसे मैदान ऊँचे पर्वतों की तुलना में अधिक स्थिर होंगे ।	isa prakAra se Cote XarAwalIya lakRaNa jEse mExAna Uzce parvawoM kI wulanA meM aXika sWira hoMge .	In the same way smaller surface features like plains are more stable than the tall mountains.
Geo_nios_3ch_0037	भू सन्तुलन: एअरी के विचार ।	BU sanwulana: earI ke vicAra .	Isosatic Balance: views of Airy
Geo_nios_3ch_0038	भू वैज्ञानिक एअरी के विभिन्न स्तंभों जैस पर्वत पठार और मैदान आदि के घनत्व को एक जैसा माना है ।	BU vEjFAnika earI ke viBinna swaMBoM jEsa parvawa paTAra Ora mExAna Axi ke Ganawva ko eka jEsA mAnA hE .	Airy, a geologist, considered the density of different columns (plains, plateaus,mountains, etc.) to be the same.
Geo_nios_3ch_0039	अतः उसने विभिन्न मोटाइयों के साथ एक समान घनत्व के विचार को सुझाया ।	awaH usane viBinna motAiyoM ke sAWa eka samAna Ganawva ke vicAra ko suJAyA .	Hence, he proposed the idea of ‘uniform density with varying thickness’.
Geo_nios_3ch_0040	हम जानते हैं कि पृथ्वी की ऊपरी परत हल्के पदार्थों से बनी है ।	hama jAnawe hEM ki pqWvI kI UparI parawa halke paxArWoM se banI hE .	We know that the upper crust of the earth is made up of lighter material.
Geo_nios_3ch_0041a	इस परत में सिलिका और एल्मुनियम भारी मात्रा में पाए जाते हैं ।	isa parawa meM silikA Ora elmuniyama BArI mAwrA meM pAe jAwe hEM .	In this layer, silica and aluminum are found in abundance, hence it is known as ‘Sial’.
Geo_nios_3ch_0041b	इसलिए इसे सियाल के नाम से जाना जाता है ।	isalie ise siyAla ke nAma se jAnA jAwA hE .	In this layer, silica and aluminum are found in abundance, hence it is known as ‘Sial’.
Geo_nios_3ch_0042	यह नीचे की परत से कम घनत्व वाला है ।	yaha nIce kI parawa se kama Ganawva vAlA hE .	It is less denser than the lower one.
Geo_nios_3ch_0043	एअरी ने माना कि सियाल से बनी भूपर्पटी सिमा (सिलिका और मैग्नीशियम, नीचे की अधिक घनत्व वाली परत) की परत के ऊपर तैर रही है ।	earI ne mAnA ki siyAla se banI BUparpatI simA (silikA Ora mEgnISiyama, nIce kI aXika Ganawva vAlI parawa) kI parawa ke Upara wEra rahI hE .	Airy assumed that the Sialic crust is floating over the Sima (silica and magnesium, lower denser layer).
Geo_nios_3ch_0044a	भूपर्पटी की परत का घनत्व एक समान है ।	BUparpatI kI parawa kA Ganawva eka samAna hE .	Crustal layer is uniform in terms of density with varying length of columns.
Geo_nios_3ch_0044b	जबकि इसके विभिन्न स्तम्भों की ऊँचाई अलग-अलग है ।	jabaki isake viBinna swamBoM kI UzcAI alaga-alaga hE .	Crustal layer is uniform in terms of density with varying length of columns.
Geo_nios_3ch_0045	इसलिए ये स्तम्भ अपनी ऊँचाई के अनुपात में दुर्बलता मण्डल में धंसे हुए हैं ।	isalie ye swamBa apanI UzcAI ke anupAwa meM xurbalawA maNdala meM XaMse hue hEM .	Therefore, those columns are projecting down into the asthenosphere depending upon the proportions of the column.
Geo_nios_3ch_0046a	इसी कारणवश इनकी जडें विकसित हो गई है ।	isI kAraNavaSa inakI jadeM vikasiwa ho gaI hE .	It is due to this reason that the root has developed or the sima has been displaced from below.
Geo_nios_3ch_0046b	अथवा नीचे गहराई में सिमा विस्थापित हो गया है ।	aWavA nIce gaharAI meM simA visWApiwa ho gayA hE .	It is due to this reason that the root has developed or the sima has been displaced from below.
Geo_nios_3ch_0047a	इस अवधारणा को सिद्ध करने के लिए, एअरी ने विभिन्न आकारों के लकडी के टुकडे लिए ।	isa avaXAraNA ko sixXa karane ke lie, earI ne viBinna AkAroM ke lakadI ke tukade lie .	To prove this concept, Airy took an example of wooden blocks of various sizes and immersed them into water.
Geo_nios_3ch_0047b	और उन्हें पानी में डुबो दिया ।	Ora unheM pAnI meM dubo xiyA .	To prove this concept, Airy took an example of wooden blocks of various sizes and immersed them into water.
Geo_nios_3ch_0048	सभी टुकडे एक जैसे घनत्व के हैं ।	saBI tukade eka jEse Ganawva ke hEM .	All blocks are of same density.
Geo_nios_3ch_0049	ये अपने आकार के अनुपात में भिन्न-भिन्न गहराई तक पानी में डूबते हैं ।	ye apane AkAra ke anupAwa meM Binna-Binna gaharAI waka pAnI meM dUbawe hEM .	They get immersed differently in proportion to their sizes.
Geo_nios_3ch_0050a	इसी प्रकार से पृथ्वी के धरातल पर अधिक ऊँचाई वाले भूलक्षण उसी अनुपात में अधिक गहराई तक धंसे होते हैं ।	isI prakAra se pqWvI ke XarAwala para aXika UzcAI vAle BUlakRaNa usI anupAwa meM aXika gaharAI waka XaMse howe hEM .	In the same way higher features with great height seen on the surface of the earth have deeper roots whereas short in length has shorter roots beneath.
Geo_nios_3ch_0050b	जबकि कम ऊँचाई वाले लक्षणों की जडें छोटी होती हैं ।	jabaki kama UzcAI vAle lakRaNoM kI jadeM CotI howI hEM .	In the same way higher features with great height seen on the surface of the earth have deeper roots whereas short in length has shorter roots beneath.
Geo_nios_3ch_0051	यह अधिक गहराई तक धंसी हुई जडें ही हैं, जो अधिक ऊँचाई वाले भूभागों को स्थिर रखे हुए हैं ।	yaha aXika gaharAI waka XaMsI huI jadeM hI hEM, jo aXika UzcAI vAle BUBAgoM ko sWira raKe hue hEM .	It is the concept of root which is sustaining the higher elevation.
Geo_nios_3ch_0052	उनका विचार था कि, भू-भाग एक नाव की तरह (मैग्मा वाले दुर्बलता मण्डल) अधः स्तर पर तैर रहे है ।	unakA vicAra WA ki, BU-BAga eka nAva kI waraha (mEgmA vAle xurbalawA maNdala) aXaH swara para wEra rahe hE .	He is of the opinion that the landmasses are floating like a boat in the substratum (magmatic asthenosphere).
Geo_nios_3ch_0053	इस अवधारणा के अनुसार माउँट एवरेस्ट की जड समुद्र स्तर से 70, 784 मीटर नीचे होनी चाहिए ।	isa avaXAraNA ke anusAra mAuzta evaresta kI jada samuxra swara se 70, 784 mItara nIce honI cAhie .	According to this concept, the root beneath the Mt. Everest would be 70,784 metre below the sea level.
Geo_nios_3ch_0054	एअरी की इसी बात को लेकर आलोचना हुई है कि, जड का इतनी गहराई पर रहना संभव नहीं है ।	earI kI isI bAwa ko lekara AlocanA huI hE ki, jada kA iwanI gaharAI para rahanA saMBava nahIM hE .	On this bases Airy has been criticized that the root is not possible to be at such a great depth.
Geo_nios_3ch_0055	क्योंकि इतनी गहराई पर विद्यमान उच्च तापमान जड के पदार्थों को पिघला देगा ।	kyoMki iwanI gaharAI para vixyamAna ucca wApamAna jada ke paxArWoM ko piGalA xegA .	Because the root material will melt due to higher temperature found at that depth.
Geo_nios_3ch_0056	प्रैट ने विभिन्न ऊँचाईयों के भूभागों को भिन्न-भिन्न घनत्व का माना है ।	prEta ne viBinna UzcAIyoM ke BUBAgoM ko Binna-Binna Ganawva kA mAnA hE .	Pratt considered landblocks of various heights to be different in terms of their density.
Geo_nios_3ch_0057a	ऊँचे भूभागों का घनत्व कम है ।	Uzce BUBAgoM kA Ganawva kama hE .	The taller landmass has lesser density and smaller height features to be denser.
Geo_nios_3ch_0057b	जबकि कम ऊँचाई वाले भूभागों को अधिक ।	jabaki kama UzcAI vAle BUBAgoM ko aXika .	The taller landmass has lesser density and smaller height features to be denser.
Geo_nios_3ch_0058	दूसरे शब्दों में ऊँचाई और घनत्व में विपरीत संबंध है ।	xUsare SabxoM meM UzcAI Ora Ganawva meM viparIwa saMbaMXa hE .	In other words, there is an inverse relationship between height and density.
Geo_nios_3ch_0059a	कोई ऊँचा स्तम्भ है ।	koI UzcA swamBa hE .	If there is a higher column, density will be lesser and if there is a shorter column, density will be higher.
Geo_nios_3ch_0059b	तो उसका घनत्व कम होगा और अगर कोई स्तम्भ छोटा है ।	wo usakA Ganawva kama hogA Ora agara koI swamBa CotA hE .	If there is a higher column, density will be lesser and if there is a shorter column, density will be higher.
Geo_nios_3ch_0059c	तो उसका घनत्व अधिक होगा ।	wo usakA Ganawva aXika hogA .	If there is a higher column, density will be lesser and if there is a shorter column, density will be higher.
Geo_nios_3ch_0060	इसको सही मानते हुए उन्होंने स्वीकार किया कि, विभिन्न ऊँचाईयों के सभी स्तंभों की क्षतिपूर्ति अधः स्तर की एक निश्चित गहराई पर हो जाती है ।	isako sahI mAnawe hue unhoMne svIkAra kiyA ki, viBinna UzcAIyoM ke saBI swaMBoM kI kRawipUrwi aXaH swara kI eka niSciwa gaharAI para ho jAwI hE .	Assuming this to be true, he accepted that all blocks of different height get compensated at a certain depth into the substratum.
Geo_nios_3ch_0061	इस प्रकार से एक सीमारेखा खींच दी जाती है, जिसके ऊपर विभिन्न ऊँचाईयों का समान दवाब पडता है ।	isa prakAra se eka sImAreKA KIMca xI jAwI hE, jisake Upara viBinna UzcAIyoM kA samAna xavAba padawA hE .	In this way a line is being demarcated above which there is equal pressure with varying heights.
Geo_nios_3ch_0062	अतः उसने एअरी के आधार या जड अवधारणा को खारिज कर दिया और क्षतिपूरक स्तर की अवधारणा को स्वीकार किया ।	awaH usane earI ke AXAra yA jada avaXAraNA ko KArija kara xiyA Ora kRawipUraka swara kI avaXAraNA ko svIkAra kiyA .	Thus, he denounced the root concept of Airy and accepted the ‘concept of a level of compensation’.
Geo_nios_3ch_0063a	उसने अपनी अवधारणा को सिद्ध करने के लिए समान भार वाली भिन्न-भिन्न घनत्व की कुछ धातु की छडें ली ।	usane apanI avaXAraNA ko sixXa karane ke lie samAna BAra vAlI Binna-Binna Ganawva kI kuCa XAwu kI CadeM lI .	For proving his concept he took a number of metal bars of varying density with same weight and put them into mercury.
Geo_nios_3ch_0063b	और उन्हें पारे में डाल दिया ।	Ora unheM pAre meM dAla xiyA .	For proving his concept he took a number of metal bars of varying density with same weight and put them into mercury.
Geo_nios_3ch_0064	इस प्रकार से, इन छडों के द्वारा उन्होंने एक रेखा बना दी, जिसे उन्होंने क्षतिपूरक स्तर माना ।	isa prakAra se, ina CadoM ke xvArA unhoMne eka reKA banA xI, jise unhoMne kRawipUraka swara mAnA .	In this way they form a line by all those bars, which he regarded to be the level of compensation.
Geo_nios_3ch_0065	एअरी और प्रैट के विचारों में अन्तर ।	earI Ora prEta ke vicAroM meM anwara .	Differences between the views of Airy and Pratt.
Geo_nios_3ch_0066	एयरी और प्रैट के विचारों की भिन्नता को एक सारणी के रूप में रखकर अधिक स्पष्ट किया जा सकता है ।	eyarI Ora prEta ke vicAroM kI BinnawA ko eka sAraNI ke rUpa meM raKakara aXika spaRta kiyA jA sakawA hE .	The differences between the views of Airy and Pratt can more clearly be presented in a tabular form.
Geo_nios_3ch_0067	भूपर्पटी के पदार्थों में एक समान घनत्व ।	BUparpatI ke paxArWoM meM eka samAna Ganawva .	Uniform density of crustal material.
Geo_nios_3ch_0068	भूपर्पटी के पदार्थों के घनत्व में भिन्नता ।	BUparpatI ke paxArWoM ke Ganawva meM BinnawA .	Varying density of crustal material.
Geo_nios_3ch_0069	भिन्न-भिन्न गहराई, जिस तक जड पहुँचती है ।	Binna-Binna gaharAI, jisa waka jada pahuzcawI hE .	Varying depth upto which root penetrates.
Geo_nios_3ch_0070	एक समान गहराई, जिस तक भूपर्पटी का पदार्थ पहुँचता है ।	eka samAna gaharAI, jisa waka BUparpatI kA paxArWa pahuzcawA hE .	Uniform depth upto which crustal material reaches.
Geo_nios_3ch_0071	पर्वतों के नीचे गहरी जड और मैदानों के नीचे छोटी जड ।	parvawoM ke nIce gaharI jada Ora mExAnoM ke nIce CotI jada .	Deeper root below the mountain and smaller beneath plain.
Geo_nios_3ch_0072	किसी प्रकार की जड नहीं परन्तु क्षतिपूरक स्तर का होना ।	kisI prakAra kI jada nahIM paranwu kRawipUraka swara kA honA .	No root formation, but a level of compensation.
Geo_nios_3ch_0073	यह बिल्कुल स्पष्ट है कि, पृथ्वी पर पूर्ण भूसंतुलन नहीं है ।	yaha bilkula spaRta hE ki, pqWvI para pUrNa BUsaMwulana nahIM hE .	It is quite apparent that there is no complete isostatic balance over the globe.
Geo_nios_3ch_0074	पृथ्वी अस्थिर है ।	pqWvI asWira hE .	The earth is unstable.
Geo_nios_3ch_0075	आन्तरिक शक्तियाँ अक्सर भूपर्पटी के संतुलन को भंग कर देते हैं ।	Anwarika SakwiyAz aksara BUparpatI ke saMwulana ko BaMga kara xewe hEM .	Endogenetic forces often disturb the crustal balance.
Geo_nios_3ch_0076a	एक निश्चित पेटी में नियमित भूकम्प और ज्वालामुखी उद्भेदन असंतुलन को दर्शाते हैं ।	eka niSciwa petI meM niyamiwa BUkampa Ora jvAlAmuKI uxBexana asaMwulana ko xarSAwe hEM .	The regular earthquakes and volcanic eruptions along a particular belt do not signify any balance but a sort of adjustment is needed continuously.
Geo_nios_3ch_0076b	इसलिए लगातार एक प्रकार के सामंजस्य की आवश्यकता बनी रहती है ।	isalie lagAwAra eka prakAra ke sAmaMjasya kI AvaSyakawA banI rahawI hE .	The regular earthquakes and volcanic eruptions along a particular belt do not signify any balance but a sort of adjustment is needed continuously.
Geo_nios_3ch_0077	आंतरिक शक्तियाँ और उनके विवर्तनिक प्रभाव धरातल पर असंतुलन के कारण हैं परन्तु प्रकृति हमेशा समस्थितिक सामंजस्य स्थापित करने का प्रयत्न करती है ।	AMwarika SakwiyAz Ora unake vivarwanika praBAva XarAwala para asaMwulana ke kAraNa hEM paranwu prakqwi hameSA samasWiwika sAmaMjasya sWApiwa karane kA prayawna karawI hE .	Endogenetic forces and their tectonic effects are the causes of imbalance on the surface but nature always tries to make an isostatic adjustment with itself.
Geo_nios_3ch_0078	बाह्य शक्तियाँ पृथ्वी के धरातल पर आए अंतरों को दूर करने का प्रयत्न करती हैं और इस प्रक्रिया में वे ऊँचे भूभागों से पदार्थों को खुरचकर बहुत दूर ले जाकर निचले भागों में निक्षेपित कर देती हैं ।	bAhya SakwiyAz pqWvI ke XarAwala para Ae aMwaroM ko xUra karane kA prayawna karawI hEM Ora isa prakriyA meM ve Uzce BUBAgoM se paxArWoM ko Kuracakara bahuwa xUra le jAkara nicale BAgoM meM nikRepiwa kara xewI hEM .	Exogenetic forces are trying to eliminate the differences on the surface of the earth and in this process they are peeling off, transporting down to far flung places, and depositing them.
Geo_nios_3ch_0079	इस प्रक्रिया में निक्षेपण के स्थान पर धंसाव द्वारा नीचे के पदार्थों के प्रवाह के कारण एवं खुरचने के स्थान पर अनाच्छादन के अनुपात में उत्थान द्वारा भूमंडलीय संतुलन बना रहता है ।	isa prakriyA meM nikRepaNa ke sWAna para XaMsAva xvArA nIce ke paxArWoM ke pravAha ke kAraNa evaM Kuracane ke sWAna para anAcCAxana ke anupAwa meM uwWAna xvArA BUmaMdalIya saMwulana banA rahawA hE .	In this process, isostatic balance is maintained by the underneath flowage of material by subsidence at the place of deposition and upliftment at the peeling of place in their proportion to the denudation.
Geo_nios_3ch_0080	अल्फ्रेड वेगनर के अनुसार 28 करोड वर्ष पूर्व पृथ्वी का समस्त भूभाग एक साथ जुडा हुआ था ।	alPreda veganara ke anusAra 28 karoda varRa pUrva pqWvI kA samaswa BUBAga eka sAWa judA huA WA .	According to Alfred Wegener, the entire landmass of the globe was together about 280 million years ago.
Geo_nios_3ch_0081	इस सुविशाल महाद्वीप को उन्होंने पैंजिया नाम दिया ।	isa suviSAla mahAxvIpa ko unhoMne pEMjiyA nAma xiyA .	It was termed as Pangea, a super continent.
Geo_nios_3ch_0082	इस अकेले महाद्वीप के चारों ओर एक विराट महासागर था, जिसका नाम पैंथालासा था ।	isa akele mahAxvIpa ke cAroM ora eka virAta mahAsAgara WA, jisakA nAma pEMWAlAsA WA .	The huge water body surrounding the Pangea was known as Panthalasa.
