Geo_nios_4ch_0001	पृथ्वी अस्थिर है ।	pqWvI asWira hE .	We live on an unstable earth.
Geo_nios_4ch_0022	पृथ्वी की उत्पति से लेकर आज तक महाद्वीपों और महासागरों के स्थलीय व जलीय भागों के वितरण में भारी परिवर्तन होते रहे हैं ।	pqWvI kI uwpawi se lekara Aja waka mahAxvIpoM Ora mahAsAgaroM ke sWalIya va jalIya BAgoM ke viwaraNa meM BArI parivarwana howe rahe hEM .	Since the origin of earth, there have been major changes in the distribution of continents and oceans, the land and the oceans.
Geo_nios_4ch_0023	पृथ्वी पर असंख्य भू हलचलें हुई हैं, जिनके परिणामस्वरूप इसके धरातल पर भारी परिवर्तन हुए हैं ।	pqWvI para asaMKya BU halacaleM huI hEM, jinake pariNAmasvarUpa isake XarAwala para BArI parivarwana hue hEM .	The earth has experienced innumerable earth movements which have brought about vast changes in its surface.
Geo_nios_4ch_0024a	मुंबई पोताश्रय में वनीय भाग का धंसना, महावलीपुरम् मंदिर का समुद्री जल में होना ।	muMbaI powASraya meM vanIya BAga kA XaMsanA, mahAvalIpuram maMxira kA samuxrI jala meM honA .	Some of the examples of these movements are submergence of forest in Bombay harbour, the Mahabalipuran temple now standing on the sea and changes in the ground level in Rann of Kuchchh of India.
Geo_nios_4ch_0024b	तथा कच्छ के रन की भूमि के स्तर में हुए परिवर्तन भारत में घटने वाली इन हलचलों के कुछ उदाहरण हैं ।	waWA kacCa ke rana kI BUmi ke swara meM hue parivarwana BArawa meM Gatane vAlI ina halacaloM ke kuCa uxAharaNa hEM .	Some of the examples of these movements are submergence of forest in Bombay harbour, the Mahabalipuran temple now standing on the sea and changes in the ground level in Rann of Kuchchh of India.
Geo_nios_4ch_0025	पृथ्वी के आंतरिक भागों में क्रियाशील इन बलों के परिणामस्वरूप इनकी बाह्य परत में हलचलें पैदा होती हैं ।	pqWvI ke AMwarika BAgoM meM kriyASIla ina baloM ke pariNAmasvarUpa inakI bAhya parawa meM halacaleM pExA howI hEM .	The forces working from inside the earth in turn cause movements in its crust.
Geo_nios_4ch_0026	इन हलचलों को पृथ्वी की हलचलें कहते हैं ।	ina halacaloM ko pqWvI kI halacaleM kahawe hEM .	These movements are called earth movements.
Geo_nios_4ch_0027a	चूंकि ये हलचलें पृथ्वी की बाह्य परत की वास्तविक बनावट में हुए परिवर्तनों से संबंधित होती हैं या पैदा होती हैं ।	cUMki ye halacaleM pqWvI kI bAhya parawa kI vAswavika banAvata meM hue parivarwanoM se saMbaMXiwa howI hEM yA pExA howI hEM .	Since, these movements pertain to or rise from, the movements of the actual structure of the earth’s crust, they are also called tectonic movements.
Geo_nios_4ch_0027b	अतः इन्हें विवर्तनिक हलचलें भी कहते हैं ।	awaH inheM vivarwanika halacaleM BI kahawe hEM .	Since, these movements pertain to or rise from, the movements of the actual structure of the earth’s crust, they are also called tectonic movements.
Geo_nios_4ch_0028	टैक्टोनिक शब्द ग्रीक भाषा के टैक्टोन शब्द से बना है जिसका अर्थ है बनाने वाला ।	tEktonika Sabxa grIka BARA ke tEktona Sabxa se banA hE jisakA arWa hE banAne vAlA .	The word tectonic is derived from the Greek word, “tekton” which means builders.
Geo_nios_4ch_0029a	यह शब्द अपने में पूर्ण सार्थक है; ।	yaha Sabxa apane meM pUrNa sArWaka hE; .	This word is true to its meaning because these are the earth movements which are constructional.
Geo_nios_4ch_0029b	क्योंकि पृथ्वी की ये हलचलें वास्तव में निर्माणकारी हैं ।	kyoMki pqWvI kI ye halacaleM vAswava meM nirmANakArI hEM .	This word is true to its meaning because these are the earth movements which are constructional.
Geo_nios_4ch_0030	इनके द्वारा ही पृथ्वी पर विभिन्न प्रकार की भू आकृतियों का निर्माण हुआ है ।	inake xvArA hI pqWvI para viBinna prakAra kI BU AkqwiyoM kA nirmANa huA hE .	And have been responsible for buildings of different types of land forms.
Geo_nios_4ch_0031	चित्र 4.1(क) तथा 4.1 (ख) से स्पष्ट है कि भारत का स्वरूप 6 करोड वर्ष पूर्व पूरी तरह भिन्न था ।	ciwra 4.1(ka) waWA 4.1 (Ka) se spaRta hE ki BArawa kA svarUpa 6 karoda varRa pUrva pUrI waraha Binna WA .	From Figures 4.1. (a) and 4.1. (b) it is quite evident that the physiography of India was entirely different about 60 million years ago.
Geo_nios_4ch_0032	आज जहाँ हिमालय पर्वत श्रेणियां एवं गंगा-सिंधु का मैदान है वहां “टैथीस” नामक सागर था ।	Aja jahAz himAlaya parvawa SreNiyAM evaM gaMgA-siMXu kA mExAna hE vahAM tEWIsa nAmaka sAgara WA .	The vast Tethys sea existed in that area where the Himalayan ranges and Indo-Gangetic plain exist.
Geo_nios_4ch_0033	टैथीस सागर निकटवर्ती स्थल प्रदेशों से बहने वाली नदियों द्वारा लाये गये पदार्थों के क्रमिक निक्षेपण से भर गया ।	tEWIsa sAgara nikatavarwI sWala praxeSoM se bahane vAlI naxiyoM xvArA lAye gaye paxArWoM ke kramika nikRepaNa se Bara gayA .	The Tethys sea was gradually filled up by the sediments brought by rivers from the surrounding regions.
Geo_nios_4ch_0034	बाद में टैथीस सागर के तल में बनी अवसादी शैलों से हुए क्रमिक उत्थान से उत्तर में हिमालय तथा उसके दक्षिण में गंगा-सिंधु मैदान का निर्माण हुआ ।	bAxa meM tEWIsa sAgara ke wala meM banI avasAxI SEloM se hue kramika uwWAna se uwwara meM himAlaya waWA usake xakRiNa meM gaMgA-siMXu mExAna kA nirmANa huA .	Later, the sedimentary rocks formed in the beds of this sea gradually emerged in the form of the Himalayas in the north and Indo-Gangetic plain to its south.
Geo_nios_4ch_0035	भारत के मालवा पठार व दक्कन ट्रेप, उत्तरी अमेरिका में कोलम्बिया तथा स्नेक नदी के पठार, आस्ट्रेलिया में किम्बरले पठार, दक्षिण अमेरिका में पराना तथा पेंटागोनिया पठारों का निर्माण भी विभिन्न भूगर्भिक कालों में पृथ्वी के आंतरिक भागों से निकले पिघले लावा के ठोस होने के परिणामस्वरूप हुआ है ।	BArawa ke mAlavA paTAra va xakkana trepa, uwwarI amerikA meM kolambiyA waWA sneka naxI ke paTAra, AstreliyA meM kimbarale paTAra, xakRiNa amerikA meM parAnA waWA peMtAgoniyA paTAroM kA nirmANa BI viBinna BUgarBika kAloM meM pqWvI ke AMwarika BAgoM se nikale piGale lAvA ke Tosa hone ke pariNAmasvarUpa huA hE .	The Malwa plateau and Deccan traps of India, Columbia and Snake Rivers Plateau of North America, Kimberlay Plateau of Australia and Parana and Patagonian Plateaus of South America were also formed by the solidification of molten lava which had escaped from the earth’s interior to its surface at different geological times.
Geo_nios_4ch_0036	इन उदाहरणों से यह पूरी तरह स्पष्ट है कि हमारी पृथ्वी का धरातल कभी भी ऐसा नहीं रहा जैसा कि वह आज है और न ही यह भविष्य में ऐसा रहेगा ।	ina uxAharaNoM se yaha pUrI waraha spaRta hE ki hamArI pqWvI kA XarAwala kaBI BI EsA nahIM rahA jEsA ki vaha Aja hE Ora na hI yaha BaviRya meM EsA rahegA .	The evidences clearly show that the surface of our earth never remained the same as it is today and neither it will be the same in future.
Geo_nios_4ch_0037	वे हलचलें जो पृथ्वी के आंतरिक या अन्तर्जात बलों द्वारा पैदा होकर भूपर्पटी को प्रभावित करती है, पृथ्वी की हलचलें कहलाती हैं ।	ve halacaleM jo pqWvI ke AMwarika yA anwarjAwa baloM xvArA pExA hokara BUparpatI ko praBAviwa karawI hE, pqWvI kI halacaleM kahalAwI hEM .	Movements caused by internal or endogenetic forces affecting the earth’s crust are known as Earth Movements.
Geo_nios_4ch_0038a	पृथ्वी की हलचलों को विवर्तनिक हलचलें भी कहते हैं; ।	pqWvI kI halacaloM ko vivarwanika halacaleM BI kahawe hEM; .	Earth movements are also called tectonic movements as they help in building the relief features on earth’s crust through subsequently or simultaneously undergoing changes.
Geo_nios_4ch_0038b	क्योंकि वे पृथ्वी के धरातल पर क्रमिक परिवर्तनों द्वारा भौतिक लक्षणों का निर्माण करती हैं ।	kyoMki ve pqWvI ke XarAwala para kramika parivarwanoM xvArA BOwika lakRaNoM kA nirmANa karawI hEM .	Earth movements are also called tectonic movements as they help in building the relief features on earth’s crust through subsequently or simultaneously undergoing changes.
Geo_nios_4ch_0039	पृथ्वी की हलचलों को समय के आधार पर दो वर्गों में विभाजित किया जाता है ।	pqWvI kI halacaloM ko samaya ke AXAra para xo vargoM meM viBAjiwa kiyA jAwA hE .	The earth movements are classified on various basis. On the basis of time taken by such movements, they are divided into.
Geo_nios_4ch_0040	मन्द हलचलें भूपर्पटी पर कुछ परिवर्तन इतने क्रमिक और मंद होते हैं कि उनमें परिवर्तन सैंकडों या हजारों वर्षों के बाद देखने को मिलता है ।	manxa halacaleM BUparpatI para kuCa parivarwana iwane kramika Ora maMxa howe hEM ki unameM parivarwana sEMkadoM yA hajAroM varRoM ke bAxa xeKane ko milawA hE .	Slow Movement The movement which bring about changes on the Earth’s crust very gradually or slowly taking hundreds or thousands of years and which cover a period much longer than a human life span are called slow movements.
Geo_nios_4ch_0041	ऐसी हलचलें जिनका समय मानव जीवन से भी अधिक लंबा होता है, मंद हलचलें कहलाती हैं ।	EsI halacaleM jinakA samaya mAnava jIvana se BI aXika laMbA howA hE, maMxa halacaleM kahalAwI hEM .	Which cover a period much longer than a human life span are called slow movements.
Geo_nios_4ch_0042	ये हलचलें भूपर्पटी पर ऊर्ध्वाधर अथवा क्षैतिज रूप में होती है ।	ye halacaleM BUparpatI para UrXvAXara aWavA kREwija rUpa meM howI hE .	These movements act on the earth’s crust either vertically or horizontally.
Geo_nios_4ch_0043	ऊर्ध्वाधर हलचलें भूपर्पटी में धंसाव या उभार पैदा करती हैं ।	UrXvAXara halacaleM BUparpatI meM XaMsAva yA uBAra pExA karawI hEM .	Acting vertically, they cause uplift or subsidence of a part of the crust.
Geo_nios_4ch_0044	भारत के काठियावाड तट पर उठे हुए समुद्री तटों में पाये गये समुद्री जीवों के अवशेषों से यह स्पष्ट होता है कि यह तट कभी समुद्री जल के नीचे था ।	BArawa ke kATiyAvAda wata para uTe hue samuxrI watoM meM pAye gaye samuxrI jIvoM ke avaSeRoM se yaha spaRta howA hE ki yaha wata kaBI samuxrI jala ke nIce WA .	The raised sea-beaches along the Kathiawar coast of India which contain the shells of marine life clearly point out that this coast was once below the sea level.
Geo_nios_4ch_0045	इसी प्रकार के उठे हुए समुद्री तट भारत के पूर्वी तट के साथ उडीसा, आंध्र प्रदेश तथा तमिलनाडु में भी पाये जाते हैं ।	isI prakAra ke uTe hue samuxrI wata BArawa ke pUrvI wata ke sAWa udIsA, AMXra praxeSa waWA wamilanAdu meM BI pAye jAwe hEM .	Similar raised beaches are found In Orissa, Andhra Pradesh, and Tamil Nadu along the eastern coast of India as well.
Geo_nios_4ch_0046	ये तट समुद्री जल स्तर से 15 से 30 मीटर तक ऊपर उठा दिये गये हैं ।	ye wata samuxrI jala swara se 15 se 30 mItara waka Upara uTA xiye gaye hEM .	These beaches have been uplifted to a height ranging between 15 to 30 metres above the mean sea level.
Geo_nios_4ch_0047	दूसरी ओर भूपृष्ठ के धंसाव के अनेक उदाहरण दिये जा सकते हैं जैसे सुन्दर वन के डेल्टा में पीट व लिगनाइट संस्तरों की उपस्थिति, तमिलनाडु के तिरुनलवेली में तथा मुंबई द्वीप के पूर्वी तट पर वनों का समुद्र में डूब जाना ।	xUsarI ora BUpqRTa ke XaMsAva ke aneka uxAharaNa xiye jA sakawe hEM jEse sunxara vana ke deltA meM pIta va liganAita saMswaroM kI upasWiwi, wamilanAdu ke wirunalavelI meM waWA muMbaI xvIpa ke pUrvI wata para vanoM kA samuxra meM dUba jAnA .	On the other hand there are numerous examples of submergence,such as the presence of peat and lignite beds found below the sea-level in Sunderban Delta, the submerged forest in Tirunelveli in Tamil Nadu and the submerged forest on the east coast of Bombay Island.
Geo_nios_4ch_0048	आकस्मिक हलचलें मन्द हलचलों के विपरीत कुछ हलचलें ऐसी होती है जो भूपर्पटी में शीघ्र परिवर्तन ला देती हैं ।	Akasmika halacaleM manxa halacaloM ke viparIwa kuCa halacaleM EsI howI hE jo BUparpatI meM SIGra parivarwana lA xewI hEM .	Sudden Movements Contrary to the slow movements, there are certain movements which bring about abrupt changes in the crust.
Geo_nios_4ch_0049	ज्वालामुखी तथा भूकम्प ऐसी हलचलों के उदाहरण हैं ।	jvAlAmuKI waWA BUkampa EsI halacaloM ke uxAharaNa hEM .	The examples of such movements are volcanic eruptions and earthquakes.
Geo_nios_4ch_0050	इन दो घटनाओं द्वारा परिवर्तन इतने आकस्मिक होते हैं कि नदियों के मार्ग बदल जाते हैं तथा लावा के बहने एवं जमने से पर्वत, उठे भू भाग व पठारों का निर्माण कुछ ही दिनों में हो जाता है ।	ina xo GatanAoM xvArA parivarwana iwane Akasmika howe hEM ki naxiyoM ke mArga baxala jAwe hEM waWA lAvA ke bahane evaM jamane se parvawa, uTe BU BAga va paTAroM kA nirmANa kuCa hI xinoM meM ho jAwA hE .	The changes brought about by these two events are so sudden that the courses of rivers undergo a change,and the lava flow result.in the formation of mountains, uplands and plateaus in a matter of days.
Geo_nios_4ch_0051	इन हलचलों के परिणामस्वरूप पर्वतीय क्षेत्रों में भूस्खलन हो जाते हैं ।	ina halacaloM ke pariNAmasvarUpa parvawIya kRewroM meM BUsKalana ho jAwe hEM .	Landslides occur in mountainous regions due to these movements.
Geo_nios_4ch_0052	आकस्मिक हलचलें भूपर्पटी में तत्काल परिवर्तन लाती हैं ।	Akasmika halacaleM BUparpatI meM wawkAla parivarwana lAwI hEM .	Sudden movements bring about abrupt changes on the earth’s surface.
Geo_nios_4ch_0053	ज्वालामुखी तथा भूकम्प आकस्मिक हलचलों के परिणाम हैं ।	jvAlAmuKI waWA BUkampa Akasmika halacaloM ke pariNAma hEM .	Volcanic eruptions and earthquakes are the result of sudden move-ments.
Geo_nios_4ch_0054	वे हलचलें जो धीमी गति से क्रमिक परिवर्तन लम्बे समय में लाते हैं, उन्हें मन्द हलचलें कहते हैं ।	ve halacaleM jo XImI gawi se kramika parivarwana lambe samaya meM lAwe hEM, unheM manxa halacaleM kahawe hEM .	The movement which bring changes slowly and gradually over a long period of time are known as slow movements.
Geo_nios_4ch_0055	भूपर्पटी में उभार, धंसाव व जल में डूबने की क्रियायें मंद हलचलों के कारण होती हैं ।	BUparpatI meM uBAra, XaMsAva va jala meM dUbane kI kriyAyeM maMxa halacaloM ke kAraNa howI hEM .	Uplift, submergence and subsidence of the earth’s crust are the result of slow movements.
Geo_nios_4ch_0056	आंतरिक बलों के लिए भौगोलिक शब्द दीजिए ।	AMwarika baloM ke lie BOgolika Sabxa xIjie .	Give geographical term for internal forces.
Geo_nios_4ch_0057	पृथ्वी की हलचल किसे कहते हैं ? ।	pqWvI kI halacala kise kahawe hEM ? .	What is Earth Movement?
Geo_nios_4ch_0058	मंद हलचलों को पृथ्वी के धरातल के किसी भाग के ऊपर उठने या धंसने के आधार पर पुनः ऊर्ध्वाधर तथा क्षैतिज हलचलों में विभाजित किया जा सकता है ।	maMxa halacaloM ko pqWvI ke XarAwala ke kisI BAga ke Upara uTane yA XaMsane ke AXAra para punaH UrXvAXara waWA kREwija halacaloM meM viBAjiwa kiyA jA sakawA hE .	The slow movements can further be divided into vertical and horizontal movements on the basis of the uplift or subsidence of a part of the Earth’s surface.
Geo_nios_4ch_0059a	ऊर्ध्वाधर हलचलें ऊर्ध्वाधर हलचलें धरातल को पृथ्वी के केन्द्र से उत्पन्न होती है ।	UrXvAXara halacaleM UrXvAXara halacaleM XarAwala ko pqWvI ke kenxra se uwpanna howI hE .	Vertical movements Vertical movements originate from the centre of the earth and affect its surface.
Geo_nios_4ch_0059b	और इसके धरातल को प्रभावित करती हैं ।	Ora isake XarAwala ko praBAviwa karawI hEM .	Vertical movements Vertical movements originate from the centre of the earth and affect its surface.
Geo_nios_4ch_0060a	इसलिए इन गतियों के कारण बडे पैमाने पर धरातल के भूभाग ऊपर उठ जाते हैं ।	isalie ina gawiyoM ke kAraNa bade pEmAne para XarAwala ke BUBAga Upara uTa jAwe hEM .	Consequently large scale uplift or subsidence of a part of the earth’s surface takes place.
Geo_nios_4ch_0060b	अथवा नीचे धंस जाते हैं ।	aWavA nIce XaMsa jAwe hEM .	Consequently large scale uplift or subsidence of a part of the earth’s surface takes place.
Geo_nios_4ch_0061	ये गतियाँ प्राय: इतनी मंद और विस्तृत होती हैं कि पृथ्वी के क्षैतिज शैल संस्तरों के स्वरूप में कोई परिवर्तन नहीं होता ।	ye gawiyAz prAya: iwanI maMxa Ora viswqwa howI hEM ki pqWvI ke kREwija SEla saMswaroM ke svarUpa meM koI parivarwana nahIM howA .	These movements are slow and wide spread and do not bring changes in the horizontal rock strata.
Geo_nios_4ch_0062a	ये गतियाँ मुख्य रूप से महाद्वीपों तथा पठारों के निर्माण से संबंधित होती हैं ।	ye gawiyAz muKya rUpa se mahAxvIpoM waWA paTAroM ke nirmANa se saMbaMXiwa howI hEM .	These movements are mainly associated with the formations of continents and plateaus, hence these are also known as continent building or plateau building movements.
Geo_nios_4ch_0062b	अतः इन्हें महाद्वीप निर्माणकारी अथवा पठार निर्माणकारी हलचलें भी कहते हैं ।	awaH inheM mahAxvIpa nirmANakArI aWavA paTAra nirmANakArI halacaleM BI kahawe hEM .	These movements are mainly associated with the formations of continents and plateaus, hence these are also known as continent building or plateau building movements.
Geo_nios_4ch_0063	पिछले पाठ में आप शैलों के बारे में पढ चुके हैं कि अवसादी शैल महासागरों व समुद्रों में लाये गये पदार्थों के जमाव से निर्मित होते हैं ।	piCale pATa meM Apa SEloM ke bAre meM paDa cuke hEM ki avasAxI SEla mahAsAgaroM va samuxroM meM lAye gaye paxArWoM ke jamAva se nirmiwa howe hEM .	In the previous lesson on rocks, you have studied that sedimentary rocks are deposited and formed in the oceans and seas.
Geo_nios_4ch_0064	ये शैलें महाद्वीपों पर विस्तृत रूप में पायी जाती हैं ।	ye SEleM mahAxvIpoM para viswqwa rUpa meM pAyI jAwI hEM .	The presence of these sedimentary rocks is wide-spread in continents.
Geo_nios_4ch_0065	इस तथ्य से यह पूर्णतः स्पष्ट होता है कि इन शैलों के ऊपर उठने से महाद्वीपों का निर्माण हुआ है ।	isa waWya se yaha pUrNawaH spaRta howA hE ki ina SEloM ke Upara uTane se mahAxvIpoM kA nirmANa huA hE .	This clearly shows that these were uplifted or raised to form continents.
Geo_nios_4ch_0066	ऊपर के वर्णन के विपरीत, ऐसे असंख्य उदाहरण दिये जा सकते है जिनमें भवन, नदी घाटियाँ तथा शहर समुद्रों में भूमि के धसने से डूब गये हैं ।	Upara ke varNana ke viparIwa, Ese asaMKya uxAharaNa xiye jA sakawe hE jinameM Bavana, naxI GAtiyAz waWA Sahara samuxroM meM BUmi ke Xasane se dUba gaye hEM .	Contrary to the above, there are countless evidences of submerged buildings, river -valleys and cities due to subsidence into the sea.
Geo_nios_4ch_0067	भूमध्यसागर के क्रेट द्वीप में बने प्राचीन भवन तथा भारत के सौराष्ट्र का प्रसिद्ध प्राचीन नगर द्वारिका समुद्र में डूबे इस प्रकार के कुछ उदाहरण हैं ।	BUmaXyasAgara ke kreta xvIpa meM bane prAcIna Bavana waWA BArawa ke sOrARtra kA prasixXa prAcIna nagara xvArikA samuxra meM dUbe isa prakAra ke kuCa uxAharaNa hEM .	Some of such examples include the submerged ancient buildings in Mediterranean in its Crete Island and the ancient city of Dwaraka in Saurashtra, India.
Geo_nios_4ch_0068	ये परिवर्तन पृथ्वी के धरातल के नीचे धसने की गति को पूर्णतः स्पष्ट करते हैं ।	ye parivarwana pqWvI ke XarAwala ke nIce Xasane kI gawi ko pUrNawaH spaRta karawe hEM .	These changes clearly point out the downward movement of the Earth’s surface.
Geo_nios_4ch_0069	बडे पैमाने पर धरातल के ऊपर उठाने या धंसने से महाद्वीपों, पठारों तथा महासागरों का निर्माण होता है ।	bade pEmAne para XarAwala ke Upara uTAne yA XaMsane se mahAxvIpoM, paTAroM waWA mahAsAgaroM kA nirmANa howA hE .	Large scale uplift or subsidence create continents, plateaus and oceans.
