02_000_1	अथ अतः दिनचर्या-अध्यायम् व्याख्यास्यामः .	aWa awaH xinacaryA-aXyAyam vyAKyAsyAmaH .	We shall now expound the Dinacaryā  adhyāya-chapter on daily regimen;
02_016_1	दीपनम् वृष्यम् आयुष्यम् स्नानम् ऊर्जा-बल-प्रदम् कण्डू-मल-श्रम-स्वेद-तन्द्रा-तृट्-दाह-पाप्म-जित् (च) (भवति) .	xIpanam vqRyam AyuRyam snAnam UrjA-bala-praxam kaNdU-mala-Srama-svexa-wanxrA-wqt-xAha-pApma-jiw (ca) (Bavawi) .	Snina (bath) improves appetite, sexual vigour, span of life, valour (enthusiasm) aiid strength; removes itching, dirt, exhaustion, sweat, stupor, thirst, burning sensation and sin,
02_017_1	उष्ण-अम्बुना अधः-कायस्य परिषेकः बल-आवहः (भवति) तेन एव तु उत्तम-अङ्गस्य बल-हृत् केश-चक्षुषाम् (भवति) (परिषेकः) .	uRNa-ambunA aXaH-kAyasya pariRekaH bala-AvahaH (Bavawi) wena eva wu uwwama-afgasya bala-hqw keSa-cakRuRAm (Bavawi) (pariRekaH) .	Pouring warm water over the body bestows strength, but the same over the head, makes for loss of strength of the hair and eyes.
02_018_1	स्नानम् अर्दित-नेत्र-अस्य-कर्ण-रोग-अतिसारिषु अध्मान-पीनस-अ-जीर्ण-भुक्तवत्सु च गर्हितम् .	snAnam arxiwa-newra-asya-karNa-roga-awisAriRu aXmAna-pInasa-a-jIrNa-Bukwavawsu ca garhiwam .	Bath is contra-indicated for those suffering from facial paralysis, diseases of the eyes, mouth and ears, diarrhoea, flatulence, pinasa (discharge of foul smelling liquid from the nose), indigestion and who have just taken food.
02_019_1	जीर्णे हितम् मितम् च अद्यात् न वेगान् ईरयेत् बलात् .	jIrNe hiwam miwam ca axyAw na vegAn Irayew balAw .	Person should take food after digestion (of the previous meal), that which is suitable (to him) and in limitted quantity;
02_019_2	न वेगितः (सन्) अन्य-कार्यः स्यात् न अ-जित्वा साध्यम् आमयम् (अन्य)-(कार्यम्) .	na vegiwaH (san) anya-kAryaH syAw na a-jiwvA sAXyam Amayam (anya)-(kAryam) .	urges ofthe body should not be initiated (prematurely) by force; should not be engaged in other works when the urges are patent; not do anything (administration of drugs, therapies etc.) without treating the curable diseases (first).
02_020_1	सुख-अर्थाः सर्व-भूतानाम् मताः सर्वाः प्रवृत्तयः सुखम् च न विना धर्मात् (भवति) तस्मात् धर्म-परः भवेत् .	suKa-arWAH sarva-BUwAnAm mawAH sarvAH pravqwwayaH suKam ca na vinA XarmAw (Bavawi) wasmAw Xarma-paraH Bavew .	All (human) activities are meant for the happiness of all the living beings; such happiness is based on dharma (righteousness, right moral conduct); hence every person should adopt (follow) righteoustness always.
02_021_1_1	भक्त्या कल्याण-मित्राणि सेवेत इतर-दूर-गः (सन्) .	BakwyA kalyANa-miwrANi sevewa iwara-xUra-gaH (san) .	Friends should be served with affection and good deeds (beneficial acts) whereas others (foes, wicked persons) should be kept at a distance.
02_021_2-022_1	हिंसा-स्तेय-अन्यथा-कामम् पैशुन्यम् परुष-अनृते सम्भिन्न-आलापम् व्यापादम् अभिध्याम् दृक्-विपर्ययम् पापम् कर्म इति दशधा काय-वाक्-मानसैः त्यजेत् .	hiMsA-sweya-anyaWA-kAmam pESunyam paruRa-anqwe samBinna-AlApam vyApAxam aBiXyAm xqk-viparyayam pApam karma iwi xaSaXA kAya-vAk-mAnasEH wyajew .	Hirns4 (causing injury, torture etc.) steya (stealing, robbing), anyathakama (unlawful sex activity), paigunya (abusive or harsh speech), anyta vacaua (scloding, speaking untruth), sambhinna alapa (speech causing dissension, seperation, breaking of company), vyapada. (quarrel, intention of harming), abhidy4 (jealousy, not tolerating good of others) and drgviparyaya (finding fault, misunderstanding, faithlessness etc. with scriptures, elders etc.)-these ten sins pertaining to the body, speech and mind should be avoided,
02_023_1_1	अ-वृत्ति-व्याधि-शोक-आर्तान् अनुवर्तेत शक्तितः .	a-vqwwi-vyAXi-Soka-ArwAn anuvarwewa SakwiwaH .	Those who have no means of livlihood, who are suffering from discases and who are afflicated with grief should be helped (to get over their troubles) to the utmost exent.
02_023_2_1	आत्मवत् सततम् पश्येत् अपि कीट-पिपीलिकम् .	Awmavaw sawawam paSyew api kIta-pipIlikam .	Even the insects and ants should be treated (with compassion and kindness ( just as oneé ownself),
02_024_1_1	अर्चयेत् देव-गो-विप्र-वृद्ध-वैद्य-नृप-अतिथीन् .	arcayew xeva-go-vipra-vqxXa-vExya-nqpa-awiWIn .	God, cow, brahmana, elders, the physician, king and guests should be worshipped.
02_024_2_1	विमुखान् न अर्थिनः कुर्यात् न अवमन्येत न आक्षिपेत् .	vimuKAn na arWinaH kuryAw na avamanyewa na AkRipew .	Beggers should not be disappointed, abused or objected.
02_025_1_1	उपकार-प्रधानः स्यात् अपकार-परे अपि अरौ .	upakAra-praXAnaH syAw apakAra-pare api arO .	One should be very helpful even to his foes, even though they are not helpful.
02_025_2_1	सम्पत्-विपत्सु एक-मनाः हेतौ ईर्ष्येत् फले न तु (ईर्ष्येत्) (स्यात्) .	sampaw-vipawsu eka-manAH hewO IrRyew Pale na wu (IrRyew) (syAw) .	One should maintain a single mind (balanced mind) during (the period of ) wealth as well as during ( period of ) calamity. One should be envious of the cause (of wealth, happiness, well-being etc. of others) but not be jealous of the effect (money, happiness etc.).
02_026_1_1	काले हितम् मितम् ब्रूयात् अ-विसंवादि पेशलम् (च) .	kAle hiwam miwam brUyAw a-visaMvAxi peSalam (ca) .	One should speak appropriate to the occasion, with words which are good, in brief, which is not untrue and which is pleasing.
02_026_2-027_1_1	पूर्व-अभिभाषी सु-मुखः सु-शीलः करुणा-मृदुः (च) (स्यात्) .	pUrva-aBiBARI su-muKaH su-SIlaH karuNA-mqxuH (ca) (syAw) .	One should start conversing (with others) first, with a pleasant face; should be virtuous, kind and soft (mild),
02_026_2-027_1_2	न एकः सुखी (स्यात्) न सर्वत्र विश्रब्धः (स्यात्) न च शङ्कितः (स्यात्) .	na ekaH suKI (syAw) na sarvawra viSrabXaH (syAw) na ca SafkiwaH (syAw) .	should not be comfortable and happy alone (should make others also like himself); should neither believe everybody nor suspect everyone;
02_027_2-028_1_1	न कञ्चित् आत्मनः शत्रुम् (प्रकाशयेत्) न आत्मानम् कस्यचित् रिपुम् (प्रकाशयेत्) .	na kaFciw AwmanaH Sawrum (prakASayew) na AwmAnam kasyaciw ripum (prakASayew) .	should not reveal that some one is his foe, and that he is an enemy of some one else;
02_027_2-028_1_2	प्रकाशयेत् न अपमानम् न च निर्-स्नेहताम् प्रभोः (प्रकाशयेत्) .	prakASayew na apamAnam na ca nir-snehawAm praBoH (prakASayew) .	should not make public the insults he had and the disaffection towards the master (his own insults from his master or of his master towards him).
02_028_2-029_1_1	जनस्य आशयम् आलक्ष्य यः यथा परितुष्यति .	janasya ASayam AlakRya yaH yaWA pariwuRyawi .	Keeping in mind the mature of the people, one should deal with them in such manner as best pleasing to them, 
02_028_2-029_1_2	तम् तथा एव अनुवर्तेत पर-आराधन-पण्डितः .	wam waWA eva anuvarwewa para-ArAXana-paNdiwaH .	becoming well-versed in the art of adoring others.
02_029_2_1	न पीडयेत् इन्द्रियाणि न च एतानि अति लालयेत् .	na pIdayew inxriyANi na ca ewAni awi lAlayew .	The sense organs should neither be troubled (strained) very much nor should they be coaxed (fondled) very much.
02_030_1_1	त्रि-वर्ग-शून्यम् न आरम्भम् भजेत् तम् च अ-विरोधयन् (भजेत्) .	wri-varga-SUnyam na AramBam Bajew wam ca a-viroXayan (Bajew) .	One should not engage himself in occupations which are devoid of the three pursuits [dharma (righteousness), artha, (wealth) and kama (pleasure)]; should carry on the occupation without going contrary to them (dharma and kama),
02_030_2_1	अनुयायात् प्रतिपदम् सर्व-धर्मेषु मध्यमाम् .	anuyAyAw prawipaxam sarva-XarmeRu maXyamAm .	In all dealings (activities), one should adopt the middle mean only (avoiding the extremes).
02_031_1	नीच-रोम-नख-श्मश्रुः निर्मल-अङ्घ्रि-मल-अयनः स्नान-शीलः सु-सुरभिः सु-वेषः अन्-उल्बण-उज्ज्वलः (च) (स्यात्) (नरः) .	nIca-roma-naKa-SmaSruH nirmala-afGri-mala-ayanaH snAna-SIlaH su-suraBiH su-veRaH an-ulbaNa-ujjvalaH (ca) (syAw) (naraH) .	One should cut his hair, nails, and mustaches ( not allow them grow long), keep his feet and orifices of waste materials (ears, nose, eyes, urethra and anus) clean; take bath daily, put on scents and good dress which is not superfluous but is pleasant to look at. 
02_032_1_1	धारयेत् सततम् रत्न-सिद्ध-मन्त्र-महा-ओषधीः .	XArayew sawawam rawna-sixXa-manwra-mahA-oRaXIH .	One should always wear precious stones, potent hymns and herbs (kept inside amulets) on the person (body),
02_032_2_1	स-आतप-त्र-पद-त्राणः विचरेत् युग-मात्र-दृक् (च) (सन्) .	sa-Awapa-wra-paxa-wrANaH vicarew yuga-mAwra-xqk (ca) (san) .	one should walk holding an umbrella, putting on foot-wear and looking straight to a distance of four arms length in front of himself;
02_033_1_1	निशि च आत्ययिके कार्ये दण्डी मौली सहायवान् (विचरेत्) (च) (सन्) .	niSi ca Awyayike kArye xaNdI mOlI sahAyavAn (vicarew) (ca) (san) .	in case of urgent work at nights, one should go equipped with a baton, head-dress and an assistant.
02_033_2-034_1_1	चैत्य-पूज्य-ध्वज-आशस्त-छाया-भस्म-तुष-अशुचीन् न आक्रामेत् शर्करा-लोष्ट-बलि-स्नान-भुवः न च (आक्रामेत्) .	cEwya-pUjya-Xvaja-ASaswa-CAyA-Basma-wuRa-aSucIn na AkrAmew SarkarA-loRta-bali-snAna-BuvaH na ca (AkrAmew) .	One should not invade (trample / set foot on / traverse / occupy) on the shade of a holy tree on which deities reside (or a Buddhist shrine), materials (or men) of worship, banner and unholy things, heap of ash, husk and dirt, (excreta etc.), sand dunes, boulders, places of bali (offering to. gods, demons etc.) and bathing.
02_034_2-035_1_1	नदीम् तरेत् न बाहुभ्याम् न अग्नि-स्कन्धम् अभिव्रजेत् .	naxIm warew na bAhuByAm na agni-skanXam aBivrajew .	One should not swim across rivers with arms, should not walk facing huge fire,
02_034_2-035_1_2	सन्दिग्ध-नावम् वृक्षम् च न आरोहेत् दुष्ट-यानवत् .	sanxigXa-nAvam vqkRam ca na Arohew xuRta-yAnavaw .	should not travel ina risky boat, not climb a tree doubtful of strength; or ride on a vehicle of bad condition.
02_035_2_1	न अ-संवृत-मुखः कुर्यात् क्षुति-हास्य-विजृम्भणम् .	na a-saMvqwa-muKaH kuryAw kRuwi-hAsya-vijqmBaNam .	One should not sneeze, laugh or yawn without covering his mouth.
02_036_1	नासिकाम् न विकुष्णीयात् न अकस्मात् विलिखेत् भुवम् न अङ्गैः चेष्टेत विगुणम् न आसीत उत्कटकः चिरम् .	nAsikAm na vikuRNIyAw na akasmAw viliKew Buvam na afgEH ceRtewa viguNam na AsIwa uwkatakaH ciram .	One should not blow his nose (except for forcing out the dirty excretion); not scratch the ground without any reason, not do ugly movements ofthe parts of the body and not sit on ones own heels for a long time.
02_037_1_1	देह-वाक्-चेतसाम् चेष्टाः प्राक् श्रमात् विनिवर्तयेत् न ऊर्ध्व-जानुः चिरम् तिष्ठेत् .	xeha-vAk-cewasAm ceRtAH prAk SramAw vinivarwayew na UrXva-jAnuH ciram wiRTew .	One should stop the activities of the body, of speech and of the mind before getting exhausted; should not keep his knees above for long period (keeping erect the legs folded at the knees whilz sleeping or standing on the hands keeping the legs up etc.).
02_037_2-038_1	नक्तम् सेवेत न द्रुमम् तथा चत्वर-चैत्य-अन्तः-चतुः-पथ-सुर-आलयान् सूना-अटवी-शून्य-गृह-श्मशानानि दिवा अपि न (सेवेत) .	nakwam sevewa na xrumam waWA cawvara-cEwya-anwaH-cawuH-paWa-sura-AlayAn sUnA-atavI-SUnya-gqha-SmaSAnAni xivA api na (sevewa) .	One should not reside at night on trees, meeting place of three roads, (or place where people assemble for recreation),vicinity ofa holy tree (or a Buddhist shrine), meeting place of four roads and a temple (house of god), One should not reside even during daytime, in a place of slaughter, a forest, haunted house and burial ground.
02_039_1	सर्वथा ईक्षेत न आदित्यम् न भारम् शिरसा वहेत् न ईक्षेत प्रततम् सूक्ष्मम् दीप्त-अमेध्य-अ-प्रियाणि च .	sarvaWA IkRewa na Axiwyam na BAram SirasA vahew na IkRewa prawawam sUkRmam xIpwa-ameXya-a-priyANi ca .	One should not gaze at the sun for long time, not carry heavy weight on his head, not see continuously objecis which are minute, shining, dirty and unpleasant. 
02_040-044_1	मद्य-विक्रय-सन्धान-दान-आदानानि न आचरेत् .	maxya-vikraya-sanXAna-xAna-AxAnAni na Acarew .	One should not engage in selling, brewing, distributing free or receiving (for diinking) of wine.
02_040-044_2	पुरो-वात-आतप-रजस्-तुषार-परुष-अनिलान् त्यजेत् .	puro-vAwa-Awapa-rajas-wuRAra-paruRa-anilAn wyajew .	The person should avoid the direct breeze, sunlight, dust, snow (dew), hard breeze (whirlwind etc.);
02_040-044_3	अनृजुः क्षवथु-उद्गार-कास-स्वप्न-अन्न-मैथुनम् (त्यजेत्) .	anqjuH kRavaWu-uxgAra-kAsa-svapna-anna-mEWunam (wyajew) .	should not sneeze, belch, cough, sleep, dine or copulate in improper postures,
02_040-044_4	कूल-छायाम् नृप-द्विष्टम् व्याल-दंष्ट्रि-विषाणिनः हीन-अन् आर्य-अति-निपुण-सेवाम् (च) (त्यजेत्) विग्रहम् उत्तमैः (त्यजेत्) सन्ध्यासु अभ्यवहार-स्त्री-स्वप्न-अध्ययन-चिन्तनम् (त्यजेत्) .	kUla-CAyAm nqpa-xviRtam vyAla-xaMRtri-viRANinaH hIna-an Arya-awi-nipuNa-sevAm (ca) (wyajew) vigraham uwwamEH (wyajew) sanXyAsu aByavahAra-swrI-svapna-aXyayana-cinwanam (wyajew) .	should avoid the shade of a scaffold, places hated by the king (or government), campany of wild animals, biting animals and those with horns; of mean, wicked (uncivilised), and very intellegent persons; avoid quarrel with good men; avoid taking foods, copulation, sleeping, study and recaptulation in the two saiidhyas (the time of meeting of the night and sunrise, of the sunset and the night); 
02_040-044_5	शत्रु-सत्र-गण-आकीर्ण-गणिका-पणिक-अशनम् (त्यजेत्) .	Sawru-sawra-gaNa-AkIrNa-gaNikA-paNika-aSanam (wyajew) .	avoid the food given by enemies, given during sacrificial ceremony, (that offered by large group of donors of different castes) ,that given by prostitutes and merchants;
02_040-044_6	गात्र-वक्त्र-नखैः वाद्यम् (त्यजेत्) हस्त-केश-अवधूननम् (त्यजेत्) .	gAwra-vakwra-naKEH vAxyam (wyajew) haswa-keSa-avaXUnanam (wyajew) .	one shoulds not make sound with the body parts, mouth and nails, nor shake the hand and hairs;
02_040-044_7	तोय-अग्नि-पूज्य-मध्येन यानम् (त्यजेत्) धूमम् शव-आश्रयम् मद्य-अति-सक्तिम् (च) (त्यजेत्) विश्रम्भ-स्वातन्त्र्ये स्त्रीषु च त्यजेत् .	woya-agni-pUjya-maXyena yAnam (wyajew) XUmam Sava-ASrayam maxya-awi-sakwim (ca) (wyajew) viSramBa-svAwanwrye swrIRu ca wyajew .	should not move in between two (recepticles of ) water, fire and the worshipful; should avoid the smoke of a cadaver; too much indulgence, in wine ( drinking ), believing and independence for women.
02_045_1	आचार्यः सर्व-चेष्टासु लोकः एव हि धीमतः (भवति) अनुकुर्यात् तम् एव अतः लौकिके अर्थे परीक्षकः .	AcAryaH sarva-ceRtAsu lokaH eva hi XImawaH (Bavawi) anukuryAw wam eva awaH lOkike arWe parIkRakaH .	For an intellegent person the whole world is a teacher, hence one should imitate the world after carefully considering their meaning (and effects) of such actions. 
02_046_1	आर्द्र-सन्तानता त्यागः काय-वाक्-चेतसाम् दमः स्व-अर्थ-बुद्धिः पर-अर्थेषु पर्याप्तम् इति सद्-व्रतम् (भवति) .	Arxra-sanwAnawA wyAgaH kAya-vAk-cewasAm xamaH sva-arWa-buxXiH para-arWeRu paryApwam iwi sax-vrawam (Bavawi) .	Compassion with all living beings, granting of gifts, controlling the activities of the body, speech and mind; feeling of selfishness in the interests of others (looking after the interest of others as his own) these are sufficient rules of good conduct (moral behaviour).
02_047_1	नक्तं-दिनानि मे यान्ति कथम्-भूतस्य सम्प्रति दुःखभाक् न भवति एवम् नित्यम् सन्निहित-स्मृतिः (सन्) .	nakwaM-xinAni me yAnwi kaWam-BUwasya samprawi xuHKaBAk na Bavawi evam niwyam sannihiwa-smqwiH (san) .	He, who constantly thinks of (reviews, examines) how his day and night are passing (and adopts the right way only) will never become a victim of sorrow.
02_048_1	इति आचारः समासेन (भवति) यम् प्राप्नोति समाचरन् आयुः आरोग्यम् ऐश्वर्यम् यशः लोकान् च शाश्वतान् .	iwi AcAraH samAsena (Bavawi) yam prApnowi samAcaran AyuH Arogyam ESvaryam yaSaH lokAn ca SASvawAn .	Thus was enumerated, in brief, the rules of good conduct; he who adopts it will (surely) attain long life, health, wealth, reputation and also the eternal world.
